model,protocol,source,target,transfer_size,acc,f1,mcc,auc,aupr
ann,source_only,human,human,0,0.7751091703056768,0.7796529593534586,0.5506868749114808,0.8597050041657632,0.8707153525758939
ann,transfer,human,human,0,0.7751091703056768,0.7796529593534586,0.5506868749114808,0.8597050041657632,0.8707153525758939
ann,source_only,human,cow,0,0.7907008453776929,0.8007787151200518,0.5844003152489702,0.8683439716056257,0.8668630667692517
ann,transfer,human,cow,500,0.7904281428961003,0.8016518260420699,0.5846121469389823,0.8686406573297363,0.8671006639199025
ann,source_only,human,mouse,0,0.7761312516538766,0.780202650038971,0.5526418752185372,0.858932327584909,0.8714117775988608
ann,transfer,human,mouse,500,0.7748081503043133,0.7802736896462691,0.5502976950305354,0.8612042175947481,0.8742314176436435
ann,source_only,human,worm,0,0.6852248394004282,0.7545909849749584,0.4490962158950494,0.8270476731976395,0.8181494412513701
ann,transfer,human,worm,500,0.7526766595289079,0.7596253902185224,0.5062000576291567,0.8305554154496558,0.8219295510423007
ann,source_only,cow,human,0,0.7348374575448812,0.6946074322436435,0.4868766889682556,0.8157524941021315,0.8260252204648675
ann,transfer,cow,human,500,0.7365356622998545,0.7375543740937651,0.47308558068355494,0.8166906442301648,0.8302233970403377
ann,source_only,cow,cow,0,0.848786473956913,0.8479780671692939,0.6976124030796859,0.9258299819385734,0.9271057790368012
ann,transfer,cow,cow,0,0.848786473956913,0.8479780671692939,0.6976124030796859,0.9258299819385734,0.9271057790368012
ann,source_only,cow,mouse,0,0.7885684043397724,0.7689415847310584,0.5856500015574904,0.8836385756273037,0.8775282858241056
ann,transfer,cow,mouse,500,0.8049748610743583,0.800595238095238,0.6105390480035143,0.8863155188129327,0.8840189705798808
ann,source_only,cow,worm,0,0.7323340471092077,0.7755834829443448,0.5035778799676839,0.8450586687086464,0.8376697914018332
ann,transfer,cow,worm,500,0.7473233404710921,0.7210401891252955,0.5036697674924248,0.8491258156073896,0.8419917668961429
ann,source_only,mouse,human,0,0.7261038330907327,0.7059129981766086,0.45653200644988245,0.798811056564214,0.8161535394289352
ann,transfer,mouse,human,500,0.7246482290150412,0.7115628970775095,0.4511573530297692,0.7986869900353625,0.8163343905689823
ann,source_only,mouse,cow,0,0.7814289610035451,0.7961856325492689,0.5688535187306426,0.8645051282865501,0.8537464834079995
ann,transfer,mouse,cow,500,0.7807472047995637,0.7787561915244909,0.5615853772588942,0.8655795403680361,0.8546447005355733
ann,source_only,mouse,mouse,0,0.8328922995501455,0.8384703926333291,0.6673782313413162,0.9178082369238618,0.9227266734014874
ann,transfer,mouse,mouse,0,0.8328922995501455,0.8384703926333291,0.6673782313413162,0.9178082369238618,0.9227266734014874
ann,source_only,mouse,worm,0,0.6038543897216274,0.7100313479623824,0.3050299383470578,0.8040570592739661,0.8038627809098439
ann,transfer,mouse,worm,500,0.7291220556745182,0.7252985884907709,0.4584217642630784,0.8035343368991559,0.8040191410383388
ann,source_only,worm,human,0,0.6809801067442989,0.5709624796084828,0.42163234092171037,0.7653067374246095,0.7852369470630376
ann,transfer,worm,human,500,0.7030567685589519,0.6431486880466473,0.4311422940635841,0.7790937775809663,0.7950717766675292
ann,source_only,worm,cow,0,0.7154349604581401,0.6459711620016964,0.46844551844538124,0.8325873739271589,0.823735356436087
ann,transfer,worm,cow,500,0.7597491137169349,0.7691904637149595,0.5212455035043415,0.8355423325053103,0.8263224961964473
ann,source_only,worm,mouse,0,0.6971421010849431,0.6071735026600309,0.44355297126351995,0.819534892938028,0.8217098945964273
ann,transfer,worm,mouse,500,0.7357766604921937,0.711291022119416,0.4784869476251268,0.8211915530745003,0.8284046213457225
ann,source_only,worm,worm,0,0.8276231263383298,0.8378650553877139,0.6605390125285889,0.9041033706422608,0.9037852906529993
ann,transfer,worm,worm,0,0.8276231263383298,0.8378650553877139,0.6605390125285889,0.9041033706422608,0.9037852906529993
