encoder,setting,source,target,phase,train_neg_strategy,eval_neg_strategy,fixed_eval_negatives,finetune_strategy,source_best_epoch,source_best_val_aupr,source_best_val_auc,target_best_epoch,target_best_val_aupr,target_best_val_auc,selected_threshold,threshold_metric,threshold_val_auc,threshold_val_aupr,threshold_val_acc,threshold_val_f1,threshold_val_mcc,auc,aupr,acc,f1,mcc,loss
graphsage,strict_zero_shot,human,human,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,6,0.8557701619621784,0.8416093693394517,0,nan,nan,0.5,fixed,0.8416093693394517,0.8557679621610521,0.7362637362637363,0.7611940298507462,0.48317656809865683,0.8396649078008355,0.8451752482588618,0.7446399120395822,0.7672262590829365,0.49876171664994823,0.6727427840232849
graphsage,strict_zero_shot,human,cow,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,6,0.8557701619621784,0.8416093693394517,0,nan,nan,0.5,fixed,0.8730515513583637,0.8870209990607031,0.7078364565587735,0.7581100141043724,0.4570274173356984,0.856436185495503,0.8725200625734011,0.6889267461669506,0.7444008958566629,0.419427852722173,0.6700764894485474
graphsage,strict_zero_shot,human,mouse,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,6,0.8557701619621784,0.8416093693394517,0,nan,nan,0.5,fixed,0.7927889632363483,0.8114516136323473,0.6939268461007592,0.727997546764796,0.40062892921004734,0.8147549745847283,0.8385033183005698,0.688017669795693,0.728756601056169,0.39424241703005486,0.67461097240448
graphsage,strict_zero_shot,human,worm,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,6,0.8557701619621784,0.8416093693394517,0,nan,nan,0.5,fixed,0.8535534097363761,0.8565580954107808,0.7138728323699421,0.7625899280575539,0.46906898768103866,0.7989482049613578,0.7952507459538599,0.6605080831408776,0.7307692307692308,0.37634566701268485,0.6765747666358948
graphsage,strict_zero_shot,cow,human,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,6,0.9039507076404063,0.8928226276885036,0,nan,nan,0.5,fixed,0.8463415876705712,0.8574865298818467,0.7252747252747253,0.648506151142355,0.5008596815976463,0.8422395875676726,0.8515467028712628,0.7229246838922485,0.637410071942446,0.5056324929323516,0.6734626293182373
graphsage,strict_zero_shot,cow,cow,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,6,0.9039507076404063,0.8928226276885036,0,nan,nan,0.5,fixed,0.8928226276885036,0.9039507076404063,0.7534071550255537,0.6848121937942296,0.562937589224274,0.8789708302255862,0.8864681426136867,0.7543441226575809,0.6905579399141631,0.5583454618122332,0.6688512563705444
graphsage,strict_zero_shot,cow,mouse,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,6,0.9039507076404063,0.8928226276885036,0,nan,nan,0.5,fixed,0.8288779630034468,0.8360275812391024,0.6946169772256728,0.5893271461716938,0.4533738620739538,0.8404729015059512,0.8543926432689851,0.7084483710657096,0.6083086053412463,0.4851074201248524,0.6737415790557861
graphsage,strict_zero_shot,cow,worm,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,6,0.9039507076404063,0.8928226276885036,0,nan,nan,0.5,fixed,0.8280263289785826,0.8467523728046964,0.7196531791907514,0.6446886446886446,0.4845583019281371,0.8068473350436559,0.808079083537447,0.7147806004618937,0.6435786435786435,0.4685867004206581,0.6754549741744995
graphsage,strict_zero_shot,mouse,human,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8406693842024706,0.8395564204817964,0,nan,nan,0.5,fixed,0.835510128607656,0.8474136224936956,0.5439560439560439,0.16791979949874689,0.2054704342745119,0.8404540249356179,0.8496255839945618,0.5459043430456295,0.17317317317317316,0.21223386087284793,0.6730684638023376
graphsage,strict_zero_shot,mouse,cow,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8406693842024706,0.8395564204817964,0,nan,nan,0.5,fixed,0.87669741038805,0.885524213178263,0.5609028960817717,0.21953065859197576,0.25140120142670197,0.8685249108306319,0.8749635205573233,0.5587734241908007,0.2146755609460279,0.24401034800483992,0.6668882369995117
graphsage,strict_zero_shot,mouse,mouse,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8406693842024706,0.8395564204817964,0,nan,nan,0.5,fixed,0.8395564204817964,0.8406693842024706,0.5448585231193926,0.1699181875393329,0.209209886348976,0.8376366084188259,0.8460466717900099,0.5465212589729431,0.17275245530093178,0.2172451312591764,0.6713923811912537
graphsage,strict_zero_shot,mouse,worm,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8406693842024706,0.8395564204817964,0,nan,nan,0.5,fixed,0.814828427277891,0.8306276800560718,0.5260115606936416,0.0989010989010989,0.163420413210853,0.8037804884553227,0.8176866304786902,0.5369515011547344,0.13763440860215054,0.19588084274975673,0.6754590272903442
graphsage,strict_zero_shot,worm,human,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8674664504556922,0.8499448695245414,0,nan,nan,0.5,fixed,0.8374413189832146,0.854570124369173,0.6971153846153846,0.5811965811965812,0.47337891922838016,0.826729098898349,0.8378583022687349,0.680043980208906,0.5477855477855479,0.44396169721344275,0.6813493967056274
graphsage,strict_zero_shot,worm,cow,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8674664504556922,0.8499448695245414,0,nan,nan,0.5,fixed,0.8597929587397589,0.8804297289744227,0.7448892674616695,0.6728563626433642,0.5455233647098164,0.8547814225887993,0.8701613493637549,0.7511073253833049,0.6843810758263122,0.5541923614671027,0.679311215877533
graphsage,strict_zero_shot,worm,mouse,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8674664504556922,0.8499448695245414,0,nan,nan,0.5,fixed,0.7925532041564087,0.8099520718351824,0.6570048309178744,0.5039920159680639,0.39900538849791295,0.80722906765545,0.8321561063397781,0.6802871341800111,0.5471255377395384,0.44580950802770025,0.6821984052658081
graphsage,strict_zero_shot,worm,worm,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8674664504556922,0.8499448695245414,0,nan,nan,0.5,fixed,0.8499448695245414,0.8674664504556922,0.684971098265896,0.551440329218107,0.4604435704551634,0.8111462539135629,0.821975834212055,0.6905311778290993,0.5759493670886076,0.45289183292816115,0.6820866465568542
graphsage,finetune,human,human,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.8495722915681805,0.8377384977659703,5,0.868447140831436,0.8597825594734936,0.5147451758384705,mcc,0.8597825594734936,0.868447140831436,0.7864010989010989,0.7767408470926059,0.574959151019864,0.8551610406433103,0.8563584289930288,0.7778999450247389,0.7659327925840094,0.5587285643693218,0.6564685702323914
graphsage,finetune,human,cow,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.8495722915681805,0.8377384977659703,5,0.8891805527947945,0.8811580554257638,0.5137082934379578,mcc,0.8811580554257638,0.8891805527947945,0.7968483816013628,0.7765807962529274,0.6037162332872825,0.8703755706404233,0.878790974120505,0.789778534923339,0.7732451304667401,0.5858193504857435,0.64518803358078
graphsage,finetune,human,mouse,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.8495722915681805,0.8377384977659703,5,0.8430125653682788,0.8433857194771769,0.5114417672157288,mcc,0.8433857194771769,0.8430125653682788,0.7584541062801933,0.759780370624571,0.5169397282161111,0.851934089820445,0.860719355763685,0.7528989508558808,0.7586299892125135,0.5063691728893772,0.6560338735580444
graphsage,finetune,human,worm,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.8495722915681805,0.8377384977659703,5,0.846464257500373,0.8520164389054095,0.5062410831451416,mcc,0.8520164389054095,0.846464257500373,0.7745664739884393,0.7808988764044944,0.550052646062121,0.8275472161033447,0.8151739998756208,0.7297921478060047,0.7478448275862069,0.46436932335056025,0.664849042892456
graphsage,finetune,cow,human,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.884596940283893,0.8767217161149146,1,0.852517340083981,0.8422839180050719,0.45719313621520996,mcc,0.8422839180050719,0.852517340083981,0.771978021978022,0.7555228276877762,0.5489526520401773,0.8320347102737248,0.8370287588664851,0.7473886750962067,0.7249326548937444,0.5015074068107765,0.6668460965156555
graphsage,finetune,cow,cow,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.884596940283893,0.8767217161149146,1,0.8834765569557123,0.8745109832863665,0.4694381356239319,mcc,0.8745109832863665,0.8834765569557123,0.7862010221465077,0.7671614100185529,0.5802139676565619,0.8647098839419681,0.869796734103974,0.7710391822827939,0.7543859649122808,0.5471322181885995,0.6505463719367981
graphsage,finetune,cow,mouse,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.884596940283893,0.8767217161149146,1,0.8293999313566165,0.8320197504192464,0.45285871624946594,mcc,0.8320197504192464,0.8293999313566165,0.7501725327812284,0.7537414965986395,0.5005553829595394,0.8308595837877674,0.8378014945496642,0.737161789066814,0.7464713715046605,0.4756078950854541,0.6606217622756958
graphsage,finetune,cow,worm,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.884596940283893,0.8767217161149146,1,0.8102033355414797,0.796518426943767,0.4445560872554779,mcc,0.796518426943767,0.8102033355414797,0.7283236994219653,0.7513227513227513,0.4646656880975918,0.799604243448949,0.796588759348875,0.6963048498845266,0.724607329842932,0.40117554251692433,0.6681275963783264
graphsage,finetune,mouse,human,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.8448469083129766,0.8462641235168016,2,0.8665855813388252,0.8594448134283299,0.4682066738605499,mcc,0.8594448134283299,0.8665855813388252,0.7802197802197802,0.760119940029985,0.5684789502098413,0.855260473633484,0.8605262282095016,0.7704782847718527,0.75244589386303,0.5467902147101422,0.6609293222427368
graphsage,finetune,mouse,cow,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.8448469083129766,0.8462641235168016,1,0.8975661520590176,0.892685862628385,0.5043002963066101,mcc,0.892685862628385,0.8975661520590176,0.8121805792163543,0.8109729961423061,0.6244121273470953,0.8828052436522148,0.8830324526229153,0.7954003407155026,0.7981173306438057,0.5910148151334879,0.6621778607368469
graphsage,finetune,mouse,mouse,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.8448469083129766,0.8462641235168016,2,0.8391791682623418,0.8446557226825477,0.4836001694202423,mcc,0.8446557226825477,0.8391791682623418,0.759144237405107,0.7437591776798826,0.5220662096204634,0.8431540365781114,0.8471516212230433,0.750276090557703,0.7394498055595564,0.5022896302178932,0.6564730405807495
graphsage,finetune,mouse,worm,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,6,0.8448469083129766,0.8462641235168016,2,0.8232631818761125,0.8125229710314411,0.46061787009239197,mcc,0.8125229710314411,0.8232631818761125,0.7312138728323699,0.753315649867374,0.4700355771641709,0.8136157321229512,0.8113998691865557,0.710161662817552,0.7398963730569947,0.4317599337634326,0.6646580696105957
graphsage,finetune,worm,human,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,7,0.7589061371545448,0.7483043202245314,2,0.8494232661940264,0.842149951696655,0.4957289397716522,mcc,0.842149951696655,0.8494232661940264,0.7692307692307693,0.7395348837209302,0.553030584354036,0.8332013100976469,0.8384006075445284,0.7501374381528312,0.7209088117899908,0.511623646685499,0.6741499900817871
graphsage,finetune,worm,cow,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,7,0.7589061371545448,0.7483043202245314,1,0.8817234863430007,0.872053565468745,0.4973541498184204,mcc,0.872053565468745,0.8817234863430007,0.7883304940374787,0.7667761614265604,0.5867716664225225,0.8651597212749841,0.8727206645921854,0.7788756388415673,0.758646336928226,0.5657569447785791,0.6754702925682068
graphsage,finetune,worm,mouse,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,7,0.7589061371545448,0.7483043202245314,2,0.8245168657911212,0.8302851351280552,0.49632716178894043,mcc,0.8302851351280552,0.8245168657911212,0.7491373360938578,0.7304412309974045,0.5031389426875996,0.8323214840530643,0.8357222574194577,0.7432357813362783,0.7264705882352942,0.490168355543652,0.671929121017456
graphsage,finetune,worm,worm,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,7,0.7589061371545448,0.7483043202245314,2,0.7771176066036355,0.7642253332887835,0.49641698598861694,mcc,0.7642253332887835,0.7771176066036355,0.6878612716763006,0.6399999999999999,0.38975297489606625,0.8000309351481953,0.7923692340952461,0.7193995381062356,0.6781456953642384,0.4539690186902416,0.6750986576080322
