model,protocol,source,target,transfer_size,accuracy,precision,recall,f1,auc
ann,source_only,human,human,0,0.7751091703056768,0.7642124883504194,0.7957302280446386,0.7796529593534586,0.8597050041657632
ann,transfer,human,human,0,0.7751091703056768,0.7642124883504194,0.7957302280446386,0.7796529593534586,0.8597050041657632
ann,source_only,human,cow,0,0.7907008453776929,0.7639920752847944,0.841287155713117,0.8007787151200518,0.8683439716056257
ann,transfer,human,cow,500,0.7904281428961003,0.7609015188633023,0.8470139078265613,0.8016518260420699,0.8686406573297363
ann,source_only,human,mouse,0,0.7761312516538766,0.7662669048226588,0.794654670547764,0.780202650038971,0.858932327584909
ann,transfer,human,mouse,500,0.7748081503043133,0.7617847239727754,0.7996824556761047,0.7802736896462691,0.8612042175947481
ann,source_only,human,worm,0,0.6852248394004282,0.6183310533515732,0.9678800856531049,0.7545909849749584,0.8270476731976395
ann,transfer,human,worm,500,0.7526766595289079,0.7388663967611336,0.7815845824411135,0.7596253902185224,0.8305554154496558
ann,source_only,cow,human,0,0.7348374575448812,0.8188405797101449,0.6031052886948084,0.6946074322436435,0.8157524941021315
ann,transfer,cow,human,500,0.7365356622998545,0.7347135291285508,0.7404172731683649,0.7375543740937651,0.8166906442301648
ann,source_only,cow,cow,0,0.848786473956913,0.8525358324145534,0.8434687755658576,0.8479780671692939,0.9258299819385734
ann,transfer,cow,cow,0,0.848786473956913,0.8525358324145534,0.8434687755658576,0.8479780671692939,0.9258299819385734
ann,source_only,cow,mouse,0,0.7885684043397724,0.8476251195409628,0.7036252976978037,0.7689415847310584,0.8836385756273037
ann,transfer,cow,mouse,500,0.8049748610743583,0.8189869914198726,0.7830113786716062,0.800595238095238,0.8863155188129327
ann,source_only,cow,worm,0,0.7323340471092077,0.6676970633693973,0.9250535331905781,0.7755834829443448,0.8450586687086464
ann,transfer,cow,worm,500,0.7473233404710921,0.8047493403693932,0.6531049250535332,0.7210401891252955,0.8491258156073896
ann,source_only,mouse,human,0,0.7261038330907327,0.7620922384701913,0.6574478408539544,0.7059129981766086,0.798811056564214
ann,transfer,mouse,human,500,0.7246482290150412,0.7470651013874067,0.6792819019893256,0.7115628970775095,0.7986869900353625
ann,source_only,mouse,cow,0,0.7814289610035451,0.7458313482610767,0.8538314698663758,0.7961856325492689,0.8645051282865501
ann,transfer,mouse,cow,500,0.7807472047995637,0.7858928075534574,0.7717480229070085,0.7787561915244909,0.8655795403680361
ann,source_only,mouse,mouse,0,0.8328922995501455,0.8113861386138614,0.8674252447737497,0.8384703926333291,0.9178082369238618
ann,transfer,mouse,mouse,0,0.8328922995501455,0.8113861386138614,0.8674252447737497,0.8384703926333291,0.9178082369238618
ann,source_only,mouse,worm,0,0.6038543897216274,0.5599505562422744,0.9700214132762313,0.7100313479623824,0.8040570592739661
ann,transfer,mouse,worm,500,0.7291220556745182,0.73568281938326,0.715203426124197,0.7252985884907709,0.8035343368991559
ann,source_only,worm,human,0,0.6809801067442989,0.8715139442231076,0.4245511887433285,0.5709624796084828,0.7653067374246095
ann,transfer,worm,human,500,0.7030567685589519,0.8056975894813733,0.5351770984958758,0.6431486880466473,0.7790937775809663
ann,source_only,worm,cow,0,0.7154349604581401,0.8545780969479354,0.519225524952277,0.6459711620016964,0.8325873739271589
ann,transfer,worm,cow,500,0.7597491137169349,0.7401058734560121,0.8006544859558222,0.7691904637149595,0.8355423325053103
ann,source_only,worm,mouse,0,0.6971421010849431,0.86376953125,0.4681132574755226,0.6071735026600309,0.819534892938028
ann,transfer,worm,mouse,500,0.7357766604921937,0.7839388145315488,0.6509658639851813,0.711291022119416,0.8211915530745003
ann,source_only,worm,worm,0,0.8276231263383298,0.7908745247148289,0.8907922912205567,0.8378650553877139,0.9041033706422608
ann,transfer,worm,worm,0,0.8276231263383298,0.7908745247148289,0.8907922912205567,0.8378650553877139,0.9041033706422608
xgb,source_only,human,human,0,0.7840853954391073,0.7849148418491484,0.7826297913634158,0.7837706511175898,0.8708388568834912
xgb,transfer,human,human,0,0.7840853954391073,0.7849148418491484,0.7826297913634158,0.7837706511175898,0.8708388568834912
xgb,source_only,human,cow,0,0.8048813744205072,0.7860798362333674,0.8377420234524134,0.8110891089108911,0.8858782131688601
xgb,transfer,human,cow,500,0.8204254158712845,0.8025231719876416,0.8500136351240797,0.8255860150973381,0.9016799350392496
xgb,source_only,human,mouse,0,0.8021963482402752,0.7983281086729362,0.8086795448531358,0.8034704877086895,0.8859294421105872
xgb,transfer,human,mouse,500,0.8086795448531358,0.7993328201180395,0.8242921407779836,0.8116206357477853,0.8937094461033492
xgb,source_only,human,worm,0,0.683083511777302,0.6199158485273493,0.9464668094218416,0.7491525423728814,0.8202064294852102
xgb,transfer,human,worm,500,0.8254817987152034,0.804,0.860813704496788,0.8314374353671147,0.9149154702896524
xgb,source_only,cow,human,0,0.752304706453178,0.8457446808510638,0.6171761280931587,0.7136044880785414,0.8412598190888714
xgb,transfer,cow,human,500,0.7702571567200388,0.7922350472193075,0.732654051431344,0.761280564658432,0.8488604830684501
xgb,source_only,cow,cow,0,0.8622852467957458,0.8605156037991859,0.8647395691300791,0.8626224156692057,0.9369175279129619
xgb,transfer,cow,cow,0,0.8622852467957458,0.8605156037991859,0.8647395691300791,0.8626224156692057,0.9369175279129619
xgb,source_only,cow,mouse,0,0.8130457793066949,0.8556825015033073,0.7531092881714739,0.8011259676284307,0.897079520736909
xgb,transfer,cow,mouse,500,0.8298491664461498,0.8187164408079775,0.8473141042603863,0.8327698309492846,0.9115677431042052
xgb,source_only,cow,worm,0,0.7548179871520343,0.6865203761755486,0.9379014989293362,0.7927601809954751,0.8516568923696289
xgb,transfer,cow,worm,500,0.8179871520342612,0.8024439918533605,0.8436830835117773,0.8225469728601253,0.894153304384907
xgb,source_only,mouse,human,0,0.7212518195050946,0.7992125984251969,0.5909752547307132,0.6794979079497908,0.8187614017022304
xgb,transfer,mouse,human,500,0.7590975254730713,0.778705636743215,0.7239204269771955,0.750314307266784,0.8378836557297431
xgb,source_only,mouse,cow,0,0.8061085355876738,0.7928515523088965,0.8287428415598582,0.8104,0.881112054989076
xgb,transfer,mouse,cow,500,0.8250613580583583,0.8327749860413177,0.8134715025906736,0.8230100703545316,0.9028769405324905
xgb,source_only,mouse,mouse,0,0.8495633765546441,0.8533975387907973,0.8441386610214342,0.8487428495410403,0.9248087700157155
xgb,transfer,mouse,mouse,0,0.8495633765546441,0.8533975387907973,0.8441386610214342,0.8487428495410403,0.9248087700157155
xgb,source_only,mouse,worm,0,0.6755888650963597,0.6145251396648045,0.9421841541755889,0.7438715131022823,0.7976193205526184
xgb,transfer,mouse,worm,500,0.8383297644539615,0.8264462809917356,0.8565310492505354,0.8412197686645636,0.9070012701236652
xgb,source_only,worm,human,0,0.6567200388161086,0.8289205702647657,0.39495390587093643,0.5349983568846534,0.7805540900638248
xgb,transfer,worm,human,500,0.7404172731683649,0.7466401194624191,0.727802037845706,0.7371007371007371,0.8221262648841579
xgb,source_only,worm,cow,0,0.6883010635396782,0.8531969309462916,0.4548677392964276,0.5933831376734258,0.8196667645579584
xgb,transfer,worm,cow,500,0.8114262339787293,0.822234762979684,0.7946550313607854,0.8082096796560809,0.8906021310951552
xgb,source_only,worm,mouse,0,0.6753109288171474,0.8430864836872087,0.4308017994178354,0.5702276707530648,0.8049800428420147
xgb,transfer,worm,mouse,500,0.8020640381053189,0.8187657079028204,0.7758666313839641,0.7967391304347826,0.8874531268851743
xgb,source_only,worm,worm,0,0.8640256959314775,0.8632478632478633,0.8650963597430407,0.8641711229946525,0.9376584788778893
xgb,transfer,worm,worm,0,0.8640256959314775,0.8632478632478633,0.8650963597430407,0.8641711229946525,0.9376584788778893
