feature,pos_missing_rate,neg_missing_rate
valid_seed,0.0,1.0
i_0,0.0,1.0
i_1,0.0,1.0
i_2,0.0,1.0
i_3,0.0,1.0
i_4,0.0,1.0
i_5,0.0,1.0
i_6,0.0,1.0
i_7,0.0,1.0
i_8,0.0,1.0
i_9,0.0,1.0
i_10,0.0,1.0
i_11,0.0,1.0
i_12,0.0,1.0
i_13,0.0,1.0
i_14,0.0,1.0
i_15,0.00010989010989010989,1.0
i_16,0.0007692307692307692,1.0
i_17,0.001978021978021978,1.0
i_18,0.003956043956043956,1.0
i_19,0.009120879120879121,1.0
i_20,0.02758241758241758,1.0
i_21,0.1312087912087912,1.0
i_22,0.5306593406593406,1.0
i_23,0.8568131868131869,1.0
i_24,0.9718681318681318,1.0
i_25,0.9975824175824176,1.0
i_26,0.9998901098901098,1.0
i_27,1.0,1.0
i_28,1.0,1.0
i_29,1.0,1.0
i_30,1.0,1.0
i_31,1.0,1.0
i_32,1.0,1.0
i_33,1.0,1.0
i_34,1.0,1.0
i_35,1.0,1.0
i_36,1.0,1.0
i_37,1.0,1.0
i_38,1.0,1.0
i_39,1.0,1.0
i_40,1.0,1.0
i_41,1.0,1.0
i_42,1.0,1.0
i_43,1.0,1.0
