feature,pos_missing_rate,neg_missing_rate,missing_rate_gap,missing_auc_abs,pos_unique_non_na,neg_unique_non_na
valid_seed,0.0,1.0,1.0,1.0,1,0
i_0,0.0,1.0,1.0,1.0,2,0
i_1,0.0,1.0,1.0,1.0,2,0
i_2,0.0,1.0,1.0,1.0,2,0
i_3,0.0,1.0,1.0,1.0,2,0
i_4,0.0,1.0,1.0,1.0,2,0
i_5,0.0,1.0,1.0,1.0,2,0
i_6,0.0,1.0,1.0,1.0,2,0
i_7,0.0,1.0,1.0,1.0,2,0
i_8,0.0,1.0,1.0,1.0,2,0
i_9,0.0,1.0,1.0,1.0,2,0
i_10,0.0,1.0,1.0,1.0,2,0
i_11,0.0,1.0,1.0,1.0,2,0
i_12,0.0,1.0,1.0,1.0,2,0
i_13,0.0,1.0,1.0,1.0,2,0
i_14,0.0,1.0,1.0,1.0,2,0
i_15,0.00010989010989010989,1.0,0.9998901098901098,0.9999450549450549,2,0
i_16,0.0007692307692307692,1.0,0.9992307692307693,0.9996153846153846,2,0
i_17,0.001978021978021978,1.0,0.998021978021978,0.9990109890109891,2,0
i_18,0.003956043956043956,1.0,0.996043956043956,0.998021978021978,2,0
i_19,0.009120879120879121,1.0,0.9908791208791209,0.9954395604395604,2,0
i_20,0.02758241758241758,1.0,0.9724175824175825,0.9862087912087912,2,0
i_21,0.1312087912087912,1.0,0.8687912087912089,0.9343956043956044,2,0
i_22,0.5306593406593406,1.0,0.4693406593406594,0.7346703296703296,2,0
i_23,0.8568131868131869,1.0,0.14318681318681314,0.5715934065934065,2,0
i_24,0.9718681318681318,1.0,0.028131868131868187,0.5140659340659341,2,0
i_25,0.9975824175824176,1.0,0.002417582417582387,0.5012087912087912,2,0
i_26,0.9998901098901098,1.0,0.00010989010989015391,0.5000549450549451,1,0
num_of_pairs,0.0,0.0,0.0,0.5,19,17
canonic_seed,0.0,0.0,0.0,0.5,2,2
non_canonic_seed,0.0,0.0,0.0,0.5,2,2
i_27,1.0,1.0,0.0,0.5,0,0
i_28,1.0,1.0,0.0,0.5,0,0
i_29,1.0,1.0,0.0,0.5,0,0
i_30,1.0,1.0,0.0,0.5,0,0
i_31,1.0,1.0,0.0,0.5,0,0
i_32,1.0,1.0,0.0,0.5,0,0
i_33,1.0,1.0,0.0,0.5,0,0
i_34,1.0,1.0,0.0,0.5,0,0
i_35,1.0,1.0,0.0,0.5,0,0
i_36,1.0,1.0,0.0,0.5,0,0
i_37,1.0,1.0,0.0,0.5,0,0
i_38,1.0,1.0,0.0,0.5,0,0
i_39,1.0,1.0,0.0,0.5,0,0
i_40,1.0,1.0,0.0,0.5,0,0
i_41,1.0,1.0,0.0,0.5,0,0
i_42,1.0,1.0,0.0,0.5,0,0
i_43,1.0,1.0,0.0,0.5,0,0
site_start,0.0,0.0,0.0,0.5,3151,3419
constraint,0.0,0.0,0.0,0.5,1,1
duplex_RNAplex_equals,0.0,0.0,0.0,0.5,2,2
Seed_match_compact_A,0.0,0.0,0.0,0.5,2,2
Seed_match_compact_GU_2_7,0.0,0.0,0.0,0.5,3,4
Seed_match_compact_GU_3_8,0.0,0.0,0.0,0.5,3,3
Seed_match_compact_GU_all,0.0,0.0,0.0,0.5,4,4
Seed_match_compact_bulge_mirna,0.0,0.0,0.0,0.5,4,3
Seed_match_compact_bulge_target,0.0,0.0,0.0,0.5,22,24
Seed_match_compact_interactions_2_7,0.0,0.0,0.0,0.5,5,5
Seed_match_compact_interactions_3_8,0.0,0.0,0.0,0.5,5,5
Seed_match_compact_interactions_all,0.0,0.0,0.0,0.5,6,6
Seed_match_compact_mismatch_inner,0.0,0.0,0.0,0.5,3,3
Seed_match_compact_mismatch_left,0.0,0.0,0.0,0.5,2,2
Seed_match_compact_mismatch_right,0.0,0.0,0.0,0.5,2,2
Seed_match_compact_start,0.0,0.0,0.0,0.5,6,6
miRNAMatchPosition_1,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_10,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_11,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_12,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_13,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_14,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_15,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_16,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_17,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_18,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_19,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_2,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_20,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_3,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_4,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_5,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_6,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_7,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_8,0.0,0.0,0.0,0.5,4,4
miRNAMatchPosition_9,0.0,0.0,0.0,0.5,4,4
miRNAPairingCount_Seed_AU,0.0,0.0,0.0,0.5,9,8
miRNAPairingCount_Seed_GC,0.0,0.0,0.0,0.5,8,9
miRNAPairingCount_Seed_GU,0.0,0.0,0.0,0.5,5,6
miRNAPairingCount_Seed_bulge,0.0,0.0,0.0,0.5,4,4
miRNAPairingCount_Seed_bulge_nt,0.0,0.0,0.0,0.5,6,6
miRNAPairingCount_Seed_mismatch,0.0,0.0,0.0,0.5,1,1
miRNAPairingCount_Total_AU,0.0,0.0,0.0,0.5,16,15
miRNAPairingCount_Total_GC,0.0,0.0,0.0,0.5,16,15
miRNAPairingCount_Total_GU,0.0,0.0,0.0,0.5,9,11
miRNAPairingCount_Total_bulge,0.0,0.0,0.0,0.5,7,7
miRNAPairingCount_Total_bulge_nt,0.0,0.0,0.0,0.5,21,18
miRNAPairingCount_Total_mismatch,0.0,0.0,0.0,0.5,1,1
miRNAPairingCount_X3p_AU,0.0,0.0,0.0,0.5,11,12
miRNAPairingCount_X3p_GC,0.0,0.0,0.0,0.5,12,14
miRNAPairingCount_X3p_GU,0.0,0.0,0.0,0.5,8,9
miRNAPairingCount_X3p_bulge,0.0,0.0,0.0,0.5,6,6
miRNAPairingCount_X3p_bulge_nt,0.0,0.0,0.0,0.5,18,16
miRNAPairingCount_X3p_mismatch,0.0,0.0,0.0,0.5,1,1
MRNA_Dist_to_start,0.0,0.0,0.0,0.5,5829,5865
MRNA_Dist_to_end,0.0,0.0,0.0,0.5,5691,5877
MRNA_Target_AA_comp,0.0,0.0,0.0,0.5,153,139
MRNA_Target_AC_comp,0.0,0.0,0.0,0.5,120,107
MRNA_Target_AG_comp,0.0,0.0,0.0,0.5,140,146
MRNA_Target_AU_comp,0.0,0.0,0.0,0.5,127,116
MRNA_Target_A_comp,0.0,0.0,0.0,0.5,252,252
MRNA_Target_CA_comp,0.0,0.0,0.0,0.5,131,122
MRNA_Target_CC_comp,0.0,0.0,0.0,0.5,184,182
MRNA_Target_CG_comp,0.0,0.0,0.0,0.5,89,107
MRNA_Target_CU_comp,0.0,0.0,0.0,0.5,150,141
MRNA_Target_C_comp,0.0,0.0,0.0,0.5,289,307
MRNA_Target_GA_comp,0.0,0.0,0.0,0.5,137,144
MRNA_Target_GC_comp,0.0,0.0,0.0,0.5,129,132
MRNA_Target_GG_comp,0.0,0.0,0.0,0.5,197,241
MRNA_Target_GU_comp,0.0,0.0,0.0,0.5,129,147
MRNA_Target_G_comp,0.0,0.0,0.0,0.5,302,345
MRNA_Target_UA_comp,0.0,0.0,0.0,0.5,122,108
MRNA_Target_UC_comp,0.0,0.0,0.0,0.5,131,125
MRNA_Target_UG_comp,0.0,0.0,0.0,0.5,151,164
MRNA_Target_UU_comp,0.0,0.0,0.0,0.5,183,176
MRNA_Target_U_comp,0.0,0.0,0.0,0.5,297,297
MRNA_Up_AA_comp,0.0,0.0,0.0,0.5,237,215
MRNA_Up_AC_comp,0.0,0.0,0.0,0.5,177,168
MRNA_Up_AG_comp,0.0,0.0,0.0,0.5,198,190
MRNA_Up_AU_comp,0.0,0.0,0.0,0.5,191,171
MRNA_Up_A_comp,0.0,0.0,0.0,0.5,334,304
MRNA_Up_CA_comp,0.0,0.0,0.0,0.5,199,184
MRNA_Up_CC_comp,0.0,0.0,0.0,0.5,236,222
MRNA_Up_CG_comp,0.0,0.0,0.0,0.5,116,130
MRNA_Up_CU_comp,0.0,0.0,0.0,0.5,212,190
MRNA_Up_C_comp,0.0,0.0,0.0,0.5,309,307
