feature,pos_missing_rate,neg_missing_rate,missing_gap,drop
i_13,0.0,1.0,1.0,True
i_12,0.0,1.0,1.0,True
i_11,0.0,1.0,1.0,True
i_10,0.0,1.0,1.0,True
i_9,0.0,1.0,1.0,True
i_8,0.0,1.0,1.0,True
i_7,0.0,1.0,1.0,True
i_6,0.0,1.0,1.0,True
i_14,0.0,1.0,1.0,True
i_4,0.0,1.0,1.0,True
i_2,0.0,1.0,1.0,True
valid_seed,0.0,1.0,1.0,True
i_1,0.0,1.0,1.0,True
i_3,0.0,1.0,1.0,True
i_0,0.0,1.0,1.0,True
i_5,0.0,1.0,1.0,True
i_15,0.00010989010989010989,1.0,0.9998901098901098,True
i_16,0.0007692307692307692,1.0,0.9992307692307693,True
i_17,0.001978021978021978,1.0,0.998021978021978,True
i_18,0.003956043956043956,1.0,0.996043956043956,True
i_19,0.009120879120879121,1.0,0.9908791208791209,True
i_20,0.02758241758241758,1.0,0.9724175824175825,True
i_21,0.1312087912087912,1.0,0.8687912087912089,True
i_22,0.5306593406593406,1.0,0.4693406593406594,True
i_23,0.8568131868131869,1.0,0.14318681318681314,True
i_24,0.9718681318681318,1.0,0.028131868131868187,True
i_25,0.9975824175824176,1.0,0.002417582417582387,True
i_26,0.9998901098901098,1.0,0.00010989010989015391,True
Acc_P25_7th,0.0,0.0,0.0,False
Acc_P25_6th,0.0,0.0,0.0,False
Acc_P25_5th,0.0,0.0,0.0,False
Acc_P25_9th,0.0,0.0,0.0,False
Acc_P25_1th,0.0,0.0,0.0,False
Acc_P25_3th,0.0,0.0,0.0,False
Acc_P25_4th,0.0,0.0,0.0,False
Acc_P25_8th,0.0,0.0,0.0,False
Acc_P26_10th,0.0,0.0,0.0,False
Acc_P26_1th,0.0,0.0,0.0,False
Acc_P26_2th,0.0,0.0,0.0,False
Acc_P26_3th,0.0,0.0,0.0,False
Acc_P26_4th,0.0,0.0,0.0,False
Acc_P26_5th,0.0,0.0,0.0,False
Acc_P26_6th,0.0,0.0,0.0,False
Acc_P26_7th,0.0,0.0,0.0,False
Acc_P26_9th,0.0,0.0,0.0,False
Acc_P25_2th,0.0,0.0,0.0,False
Acc_P23_2th,0.0,0.0,0.0,False
Acc_P23_4th,0.0,0.0,0.0,False
Acc_P23_5th,0.0,0.0,0.0,False
Acc_P23_6th,0.0,0.0,0.0,False
Acc_P23_7th,0.0,0.0,0.0,False
Acc_P23_8th,0.0,0.0,0.0,False
Acc_P23_9th,0.0,0.0,0.0,False
Acc_P24_10th,0.0,0.0,0.0,False
Acc_P26_8th,0.0,0.0,0.0,False
Acc_P24_2th,0.0,0.0,0.0,False
Acc_P24_3th,0.0,0.0,0.0,False
Acc_P24_4th,0.0,0.0,0.0,False
Acc_P24_5th,0.0,0.0,0.0,False
Acc_P24_6th,0.0,0.0,0.0,False
Acc_P24_7th,0.0,0.0,0.0,False
Acc_P24_8th,0.0,0.0,0.0,False
Acc_P24_9th,0.0,0.0,0.0,False
Acc_P25_10th,0.0,0.0,0.0,False
Acc_P24_1th,0.0,0.0,0.0,False
Acc_P28_9th,0.0,0.0,0.0,False
Acc_P29_10th,0.0,0.0,0.0,False
Acc_P29_1th,0.0,0.0,0.0,False
Acc_P29_2th,0.0,0.0,0.0,False
Acc_P29_3th,0.0,0.0,0.0,False
Acc_P29_4th,0.0,0.0,0.0,False
Acc_P29_5th,0.0,0.0,0.0,False
Acc_P29_6th,0.0,0.0,0.0,False
Acc_P23_3th,0.0,0.0,0.0,False
Acc_P29_8th,0.0,0.0,0.0,False
Acc_P29_9th,0.0,0.0,0.0,False
Acc_P2_10th,0.0,0.0,0.0,False
Acc_P2_1th,0.0,0.0,0.0,False
Acc_P2_2th,0.0,0.0,0.0,False
Acc_P2_3th,0.0,0.0,0.0,False
Acc_P2_4th,0.0,0.0,0.0,False
Acc_P2_5th,0.0,0.0,0.0,False
Acc_P2_7th,0.0,0.0,0.0,False
Acc_P29_7th,0.0,0.0,0.0,False
Acc_P27_10th,0.0,0.0,0.0,False
Acc_P27_1th,0.0,0.0,0.0,False
Acc_P27_2th,0.0,0.0,0.0,False
Acc_P27_3th,0.0,0.0,0.0,False
Acc_P27_4th,0.0,0.0,0.0,False
Acc_P27_5th,0.0,0.0,0.0,False
Acc_P27_6th,0.0,0.0,0.0,False
Acc_P27_7th,0.0,0.0,0.0,False
Acc_P28_8th,0.0,0.0,0.0,False
Acc_P27_9th,0.0,0.0,0.0,False
Acc_P28_10th,0.0,0.0,0.0,False
Acc_P28_1th,0.0,0.0,0.0,False
Acc_P28_2th,0.0,0.0,0.0,False
Acc_P28_3th,0.0,0.0,0.0,False
Acc_P28_4th,0.0,0.0,0.0,False
Acc_P28_5th,0.0,0.0,0.0,False
Acc_P28_6th,0.0,0.0,0.0,False
Acc_P28_7th,0.0,0.0,0.0,False
Acc_P27_8th,0.0,0.0,0.0,False
Acc_P18_7th,0.0,0.0,0.0,False
Acc_P18_8th,0.0,0.0,0.0,False
Acc_P18_9th,0.0,0.0,0.0,False
Acc_P19_10th,0.0,0.0,0.0,False
Acc_P19_1th,0.0,0.0,0.0,False
Acc_P19_2th,0.0,0.0,0.0,False
Acc_P19_3th,0.0,0.0,0.0,False
Acc_P19_4th,0.0,0.0,0.0,False
Acc_P2_6th,0.0,0.0,0.0,False
Acc_P19_6th,0.0,0.0,0.0,False
Acc_P19_7th,0.0,0.0,0.0,False
Acc_P19_8th,0.0,0.0,0.0,False
Acc_P19_9th,0.0,0.0,0.0,False
Acc_P1_10th,0.0,0.0,0.0,False
Acc_P1_1th,0.0,0.0,0.0,False
Acc_P1_2th,0.0,0.0,0.0,False
Acc_P1_3th,0.0,0.0,0.0,False
Acc_P19_5th,0.0,0.0,0.0,False
Acc_P16_7th,0.0,0.0,0.0,False
Acc_P16_9th,0.0,0.0,0.0,False
Acc_P17_10th,0.0,0.0,0.0,False
Acc_P17_1th,0.0,0.0,0.0,False
Acc_P17_2th,0.0,0.0,0.0,False
Acc_P17_3th,0.0,0.0,0.0,False
Acc_P17_4th,0.0,0.0,0.0,False
Acc_P17_5th,0.0,0.0,0.0,False
Acc_P18_6th,0.0,0.0,0.0,False
Acc_P17_7th,0.0,0.0,0.0,False
Acc_P17_8th,0.0,0.0,0.0,False
Acc_P17_9th,0.0,0.0,0.0,False
Acc_P18_10th,0.0,0.0,0.0,False
Acc_P18_1th,0.0,0.0,0.0,False
Acc_P18_2th,0.0,0.0,0.0,False
Acc_P18_3th,0.0,0.0,0.0,False
Acc_P18_4th,0.0,0.0,0.0,False
Acc_P18_5th,0.0,0.0,0.0,False
Acc_P17_6th,0.0,0.0,0.0,False
Acc_P21_4th,0.0,0.0,0.0,False
Acc_P21_5th,0.0,0.0,0.0,False
