source,target,source_best_epoch,source_best_val_auc,test_loss,test_auc,test_ap,test_accuracy,test_precision,test_recall,test_f1
human,human,62,0.5732371564749228,0.6891171336174011,0.5878017297302744,0.5626277346747074,0.5297418630751964,0.5160996354799514,0.9534231200897868,0.6696886085928261
human,cow,62,0.5732371564749228,0.6926652193069458,0.5582126939316348,0.5330211343363268,0.5076157000585823,0.5038484310242747,0.997070884592853,0.6694198623402163
human,mouse,62,0.5732371564749228,0.6889837384223938,0.5852668601170277,0.5592645027691023,0.5355967693688304,0.5189550812360625,0.9745737361651211,0.6772684752104771
human,worm,62,0.5732371564749228,0.6933006644248962,0.6129166666666667,0.6105612377450991,0.5011904761904762,0.5005959475566151,1.0,0.6671961874503575
cow,human,15,0.54741912456671,1.6834478378295898,0.5836175383968126,0.5547198378134977,0.5592031425364759,0.5390018484288355,0.8181818181818182,0.6498774236683753
cow,cow,15,0.54741912456671,0.7790798544883728,0.5676325368953573,0.5443064195599324,0.554481546572935,0.5399484536082474,0.7363796133567663,0.6230483271375464
cow,mouse,15,0.54741912456671,1.6905256509780884,0.5830732962354133,0.5526425178003608,0.5677535148070595,0.546064673581452,0.8031708046664673,0.6501210653753027
cow,worm,15,0.54741912456671,0.6947256922721863,0.5662726757369615,0.535782836656109,0.5107142857142857,0.5058064516129033,0.9333333333333333,0.6560669456066945
mouse,human,17,0.5691265623872421,6.680205821990967,0.5749129907379066,0.5483923742142148,0.5412457912457912,0.523794108125607,0.9079685746352413,0.6643399712584686
mouse,cow,17,0.5691265623872421,2.3212664127349854,0.5494955297958131,0.5317071812560548,0.5263620386643234,0.5147734734077478,0.9185705916813123,0.6597938144329897
mouse,mouse,17,0.5691265623872421,7.285383701324463,0.5768088278363073,0.5452546015553743,0.5403828896201017,0.5229357798165137,0.9207298833383188,0.6670278470040091
mouse,worm,17,0.5691265623872421,0.7282480597496033,0.5758333333333333,0.5590514525568143,0.5333333333333333,0.5185676392572944,0.930952380952381,0.666098807495741
worm,human,9,0.5727040816326531,23.25705909729004,0.5274904236277226,0.5062803415525912,0.5277777777777778,0.5151980350015352,0.941638608305275,0.6660051597539195
worm,cow,9,0.5727040816326531,7.870046615600586,0.5419132906337975,0.5279836997518496,0.5202108963093146,0.5111039588027035,0.9302870533099004,0.6597424179476526
worm,mouse,9,0.5727040816326531,27.05322265625,0.5523350366497731,0.5327648263979888,0.5288662877654801,0.5154079514609612,0.9655997606939875,0.6720799500312304
worm,worm,9,0.5727040816326531,1.1186598539352417,0.5108900226757369,0.5123734481244285,0.5190476190476191,0.5110803324099723,0.8785714285714286,0.6462346760070053
