source,target,source_best_epoch,source_best_val_auc,test_loss,test_auc,test_ap,test_accuracy,test_precision,test_recall,test_f1
human,human,5,0.6857135010867091,3.3862712383270264,0.6707160896809702,0.632306339152934,0.5,0.0,0.0,0.0
human,cow,5,0.6857135010867091,2.0283730030059814,0.6642171809842528,0.6006788242025881,0.5,0.0,0.0,0.0
human,mouse,5,0.6857135010867091,3.8493406772613525,0.6830345765418017,0.632358429782359,0.5,0.0,0.0,0.0
human,worm,5,0.6857135010867091,0.8058752417564392,0.6914743547356125,0.6845725820764903,0.5,0.0,0.0,0.0
cow,human,12,0.7242789919363896,1.5557796955108643,0.6927814506006027,0.6496179539387522,0.5016797312430011,0.875,0.003919372900335946,0.007803790412486065
cow,cow,12,0.7242789919363896,1.02689790725708,0.6740014327854283,0.609511251338667,0.5016366612111293,0.75,0.004909983633387889,0.00975609756097561
cow,mouse,12,0.7242789919363896,1.742300271987915,0.7135533762040159,0.6555353011163263,0.5007335680751174,0.6666666666666666,0.0029342723004694834,0.005842827928717498
cow,worm,12,0.7242789919363896,0.6876831650733948,0.6469615816967533,0.6465088734319732,0.5246478873239436,0.7837837837837838,0.06807511737089202,0.12526997840172788
mouse,human,3,0.653396458457337,9.77698040008545,0.693106549760549,0.6476442252346808,0.5,0.0,0.0,0.0
mouse,cow,3,0.653396458457337,6.0398359298706055,0.6767873879166841,0.6187823307459278,0.5,0.0,0.0,0.0
mouse,mouse,3,0.653396458457337,11.481523513793945,0.6739311000490423,0.6282024364237055,0.5,0.0,0.0,0.0
mouse,worm,3,0.653396458457337,1.6349849700927734,0.7207840155172034,0.6825896895532394,0.5,0.0,0.0,0.0
worm,human,1,0.6336332179930796,7.745489597320557,0.6887183381006183,0.6405622850130667,0.5,0.0,0.0,0.0
worm,cow,1,0.6336332179930796,4.925850868225098,0.6215642838200904,0.5738563896178825,0.5,0.0,0.0,0.0
worm,mouse,1,0.6336332179930796,9.279653549194336,0.6460766075817188,0.6046619052474581,0.5,0.0,0.0,0.0
worm,worm,1,0.6336332179930796,1.3597530126571655,0.6535685159470123,0.5946154778128763,0.4823943661971831,0.0,0.0,0.0
