source,target,source_best_epoch,source_best_val_auc,best_threshold,val_best_f1,val_best_accuracy,test_loss,test_auc,test_ap,test_accuracy,test_precision,test_recall,test_f1
human,human,5,0.6857135010867091,2.7029051739846377e-12,0.7472527472527472,0.6617647058823529,3.3862712383270264,0.6707160896809702,0.632306339152934,0.6503359462486002,0.5889956910838582,0.9949608062709966,0.7399541952946076
human,cow,5,0.6857135010867091,2.0924053387716413e-06,0.7691605839416058,0.7002369668246445,2.0283730030059814,0.6642171809842528,0.6006788242025881,0.6849427168576104,0.6134538152610441,1.0,0.7604231487243309
human,mouse,5,0.6857135010867091,8.28169893773989e-11,0.7620933521923622,0.6889792899408284,3.8493406772613525,0.6830345765418017,0.632358429782359,0.695862676056338,0.6226796544752803,0.994131455399061,0.7657362413832071
human,worm,5,0.6857135010867091,0.030158182606101036,0.7345132743362832,0.6470588235294118,0.8058752417564392,0.6914743547356125,0.6845725820764903,0.6208920187793427,0.5696887686062246,0.9882629107981221,0.7227467811158799
cow,human,12,0.7242719727768918,0.00021137403382454067,0.7408568443051201,0.6526610644257703,1.5557982921600342,0.692778942603226,0.6496157628945194,0.6268197088465846,0.5739471106758081,0.9843225083986562,0.7250979583419263
cow,cow,12,0.7242719727768918,0.019475730136036873,0.7503349709691827,0.6688388625592417,1.0269224643707275,0.6739972659811083,0.6095039122934228,0.6557555919258047,0.5927851803704908,0.9950900163666121,0.7429735234215885
cow,mouse,12,0.7242719727768918,0.00013709058111999184,0.7522371364653244,0.6723372781065089,1.7423715591430664,0.7135528165570103,0.655529745108363,0.676056338028169,0.6077586206896551,0.9929577464788732,0.7540106951871658
cow,worm,12,0.7242719727768918,0.2614046633243561,0.6721311475409836,0.5294117647058824,0.6877197623252869,0.6469615816967533,0.6464913026601842,0.5422535211267606,0.5229007633587787,0.9647887323943662,0.6782178217821783
mouse,human,3,0.653396458457337,7.276637772537052e-22,0.7414787624541164,0.6547619047619048,9.77698040008545,0.693106549760549,0.6476442252346808,0.6475363941769317,0.5895344886170574,0.971444568868981,0.7337703531401989
mouse,cow,3,0.653396458457337,5.659821136067e-12,0.7534800179613831,0.6747630331753555,6.0398359298706055,0.6767875367311241,0.6187823307459278,0.6808510638297872,0.6110552763819096,0.9950900163666121,0.7571606475716066
mouse,mouse,3,0.653396458457337,1.1891223033311445e-27,0.7603725656223539,0.6860207100591716,11.481523513793945,0.6739310139495029,0.6282022407240828,0.6839788732394366,0.6135458167330677,0.994131455399061,0.7587905935050393
mouse,worm,3,0.653396458457337,0.0003064048651140183,0.717391304347826,0.6176470588235294,1.6349849700927734,0.7207840155172034,0.6825896895532394,0.6502347417840375,0.5896358543417367,0.9882629107981221,0.7385964912280703
worm,human,1,0.6336332179930796,1.6839719749297386e-17,0.7390396659707725,0.6498599439775911,7.745489597320557,0.6887183381006183,0.6405622850130667,0.6396976483762598,0.5838655462184874,0.9725643896976484,0.7296786389413988
worm,cow,1,0.6336332179930796,1.0867982069839854e-09,0.7381370826010544,0.6469194312796208,4.925851345062256,0.6215642838200904,0.5738563896178825,0.6429350791052919,0.5838131797824696,0.9956355701036552,0.7360354910264165
worm,mouse,1,0.6336332179930796,7.38447604075969e-19,0.7426043682609897,0.6556952662721893,9.279653549194336,0.6460766506314884,0.6046621453754724,0.6631455399061033,0.5985815602836879,0.9906103286384976,0.7462422634836426
worm,worm,1,0.6336332179930796,6.116573058534414e-05,0.6967213114754098,0.5647058823529412,1.3597530126571655,0.6535685159470123,0.5946154778128763,0.573943661971831,0.5402298850574713,0.9929577464788732,0.6997518610421837
